ID,FIRM_NAME,ELITE_FIRM,TRADE_TYPE,TRAN_ID,TRAN_DATE,PROD_ID,TRAN_AMT
WCEPX3NJVK,,,P,-87595414,2018-03-25 14:48:01,1972,-10426.122428563109
AHTDNYP4A3,,,P,17884698,2018-07-04 05:50:05,1017,5655.2981788794295
T8NOPQSIWF,,,P,-89102536,2018-01-23 07:54:08,7341,-13788.847153212022
XJZM8GRCHE,Firm L,YES,I,55760499,2018-03-05 06:53:05,1017,17582.296911572957
007AS3ESRJ,Firm J,,I,47488988,2018-10-30 18:31:00,4252,4714.478625467572
UYPHDND4FA,Firm B,,I,96412354,2018-10-31 14:10:00,1017,3496.726674032228
K2HI7Z6A4L,,,P,77079288,2018-11-16 03:59:05,1017,6447.144627514418
CDGKL7HHXF,Firm J,,I,46461576,2018-02-20 00:50:00,4330,2967.90302496828
OMJMSPEXOA,Firm L,YES,I,19835183,2018-07-12 12:54:00,1017,38111.64014830554
Q16YO4JCU6,Firm K,,I,37094347,2018-12-01 13:16:05,9667,18707.372979675587
UYPHDND4FA,Firm B,,I,87906169,2018-06-23 08:23:00,1017,4909.943844509298
63WPDBSF0P,Firm L,YES,I,-89750530,2018-02-26 07:20:08,1017,-7728.343066336888
8IFVOHRN39,Firm E,,I,24986421,2018-05-13 12:38:00,7455,8230.031044567328
ZKMO6UT86Q,Firm J,,I,-23267909,2018-09-16 17:23:01,2439,-12822.99510361023
V9N3ZKPZHH,,,P,35019844,2018-10-18 09:37:00,1017,16962.272305137285
13Y2YC97H6,Firm L,YES,I,26957476,2018-11-12 18:07:00,1972,234755.03115148595
H8G804ZI5V,Firm J,,I,93333110,2018-12-12 05:11:00,4330,8606.885415256407
OMJMSPEXOA,Firm L,YES,I,90337951,2018-02-28 03:55:00,2837,295329.007430127
T9AD15KSTV,,,P,68338806,2018-11-30 20:08:00,1017,126678.15304142288
N3GUJVQNZ8,,,P,-53161652,2018-12-28 21:49:01,1017,-7664.187951547256
C9NRGXF7IO,Firm J,,I,15075626,2018-03-07 07:04:00,1549,149403.51402249947
LMPLLW4ENR,Firm K,,I,-95458498,2018-05-15 14:20:01,7455,-6698.619140286775
U7BJKAE83O,,,P,16546883,2018-12-24 05:32:00,7341,9281.156656110124
HBRJJ06A8Z,Firm J,,I,90567513,2018-03-22 08:20:05,6168,15915.863794011131
Q16YO4JCU6,Firm K,,I,67559273,2018-11-23 09:08:00,1549,2363.836838205213
4ODNGNJKKP,Firm C,,I,-46427878,2018-06-11 09:12:01,4252,-8197.024278107941
CDGKL7HHXF,Firm J,,I,42939135,2018-05-26 00:12:05,2837,10522.742675772071
LSVU61S7XC,,,P,42342579,2018-01-14 21:52:00,1017,3719.442051127123
FECOMP3J0U,,,P,10710609,2018-06-19 23:05:05,6099,-421.30763405773536
B79TELFZL7,Firm J,,I,83137446,2018-06-24 10:16:00,1017,15270.731534680152
QZ8A8293I9,Firm G,YES,I,96655652,2018-01-18 06:45:00,4330,1041.2762799496013
QH6U83FHKN,Firm J,,I,68756980,2018-06-14 01:02:00,1017,92899.78229285227
13Y2YC97H6,Firm L,YES,I,79904209,2018-06-24 08:35:00,4252,19159.711598795402
LSVU61S7XC,,,P,59667405,2018-12-27 06:09:00,5280,12088.242319172352
9KPSVHG8YA,,,P,83841528,2018-12-16 20:52:00,6168,14053399.035659656
QZ8A8293I9,Firm G,YES,I,96364821,2018-04-13 21:34:00,2837,7842.949162288549
TPJKXTM0CB,Firm C,,I,28193009,2018-09-16 23:14:00,6168,48054.05460152437
UYPHDND4FA,Firm B,,I,54442890,2018-10-29 21:27:00,4330,6903.906197000717
J7GOCJMT4X,,,P,26021883,2018-03-09 14:40:00,2439,176714.63510234453
U7BJKAE83O,,,P,96903222,2018-08-25 17:29:05,7455,8653.476285981795
17PCTFAZUP,Firm K,,I,65114198,2018-02-13 22:21:00,9667,16607.74820992041
8IFVOHRN39,Firm E,,I,-54693555,2018-12-05 08:39:01,1017,-10972.36174036286
PO2L3AEFED,Firm H,,I,-21664730,2018-08-26 17:38:01,2183,-11570.861581934558
E4IAL3HYBA,Firm A,,I,81118961,2018-05-14 20:16:00,1017,17848.250338602626
CDGKL7HHXF,Firm J,,I,39956024,2018-08-26 20:48:00,1017,9953.787807783225
7VBKY5B1PM,,,P,30311752,2018-02-04 12:18:00,4330,13237.984234289132
Z3X0LBABH7,Firm K,,I,-40985985,2018-07-21 20:09:01,4330,-20402.406238551717
6RUCM9BPJ9,,,P,53576489,2018-01-24 20:22:00,1972,11081.409577520986
GSITSYMDWU,,,P,99215793,2018-03-15 02:33:00,1017,10126.78636899336
NTEGEVCM9X,Firm H,,I,76591671,2018-11-05 20:35:00,2837,101467.06572159586
SXS9F6CSY1,Firm L,YES,I,24505058,2018-11-16 04:21:00,6099,61332.810687688616
0FIT0NJYNV,Firm B,,I,15625023,2018-03-23 13:56:00,1017,9964.933742778774
XJZM8GRCHE,Firm L,YES,I,71839163,2018-07-14 23:03:00,1017,10714.149675970972
N3GUJVQNZ8,,,P,46413370,2018-09-25 06:37:00,1017,12094.27479082166
H8G804ZI5V,Firm J,,I,64598945,2018-10-11 09:13:00,1017,4621.3585992595645
2MVH9N44OT,Firm I,,I,78335071,2018-11-29 10:32:00,4330,8040.538646379998
5KO6XTG3NZ,Firm H,,I,55228126,2018-11-16 22:44:00,1017,21850.341823706836
FO8YWV23ZK,Firm I,,I,36977123,2018-10-22 06:52:00,1972,43435.79215658927
5KO6XTG3NZ,Firm H,,I,89689222,2018-12-10 18:40:05,4233,8980.236010058337
Q16YO4JCU6,Firm K,,I,70123834,2018-08-02 11:23:00,6168,9329.084719004124
NTEGEVCM9X,Firm H,,I,47257529,2018-07-06 08:31:00,4330,99345.9579539417
3IZHN85PK8,Firm J,,I,-61557451,2018-03-24 04:05:01,1017,-15286.887642979233
UI7EJIY2KI,Firm C,,I,35035197,2018-07-13 02:36:00,9667,8536.152939129619
TN2QK2P9RS,,,P,62166468,2018-07-03 12:35:05,7341,15582.004121739034
GKKCWNOKZ0,Firm G,YES,I,51413585,2018-08-21 08:47:00,1017,17869.764292748547
F887AXNEJ8,Firm C,,I,85218950,2018-07-02 11:36:00,1017,17589.46281514866
63WPDBSF0P,Firm L,YES,I,-90575590,2018-05-11 00:10:01,2439,-8181.56789253037
F887AXNEJ8,Firm C,,I,31838401,2018-04-02 20:10:00,5280,15644.19113612594
EQF1X3CNKZ,,,P,70451504,2018-03-13 16:55:00,4233,8456.380041949225
Z3X0LBABH7,Firm K,,I,12227450,2018-01-15 17:38:00,1017,18373.70213682137
086N3Y4VVM,Firm L,YES,I,-79853951,2018-01-24 20:53:08,4330,-11930.57533035386
K3M3GSSAN2,Firm L,YES,I,92186744,,2837,3946.953485919712
MUJWN4XFML,,,P,75852210,2018-01-02 06:01:00,4252,13694.529785427949
K3M3GSSAN2,Firm L,YES,I,35569536,2018-03-01 09:45:00,1549,8914.57568487935
6RUCM9BPJ9,,,P,31854885,2018-11-09 13:49:00,9667,13997.9880793616
X7SUJHX95Z,Firm J,,I,75690076,2018-04-03 08:20:00,1017,10403.057404701469
6RUCM9BPJ9,,,P,95474910,2018-04-01 17:32:00,1017,20441.88033835801
8IFVOHRN39,Firm E,,I,32232349,2018-04-14 09:48:00,1246,7538.259588641062
LSVU61S7XC,,,P,25460619,2018-07-28 17:56:00,1017,21286.262896441007
D2XB6WSA2C,Firm H,,I,-94035258,2018-12-09 08:42:08,1017,-11001.795881747732
086N3Y4VVM,Firm L,YES,I,79853951,2018-01-24 20:53:00,4330,11930.57533035386
TN2QK2P9RS,,,P,54225740,2018-03-11 00:28:00,1017,12175.612540808685
17PCTFAZUP,Firm K,,I,89063403,2018-05-07 17:18:00,6099,3184.4500162061518
K2HI7Z6A4L,,,P,48745346,2018-10-04 00:13:00,1017,5452.192449310413
HBRJJ06A8Z,Firm J,,I,59726611,2018-12-19 09:31:00,4330,7570.2172522392775
MMF0ILGGR0,,,P,61199317,2018-01-01 19:06:00,2837,6707.106485332555
3CN0CG38T5,Firm L,YES,I,87333912,2018-08-31 03:16:00,1017,12227.938079896321
166FJV65R6,Firm C,,I,20781649,2018-06-12 05:32:00,5280,5750.845046369029
4KWW1KR3JY,Firm L,YES,I,89577264,2018-05-15 22:20:00,9667,10984.940635623016
2F99RMVRIZ,Firm G,YES,I,70391308,2018-06-25 13:57:05,2837,11809.268167915645
UBRJS7UAWJ,Firm A,,I,50508834,2018-12-04 09:37:00,1017,8700.48370756913
V9N3ZKPZHH,,,P,72410523,2018-09-14 03:38:05,4252,9039.262165374204
086N3Y4VVM,Firm L,YES,I,22429423,2018-05-20 07:57:00,1017,16544.17079220368
3Y1K6KE4BT,,,P,58079642,2018-03-04 17:58:05,1017,11126.23510139114
H8G804ZI5V,Firm J,,I,37932169,2018-11-02 02:40:00,1017,11728.199964838645
TMD4NCAUKL,Firm H,,I,26145146,2018-10-15 16:15:00,7341,43912.05967296829
8UD4S22K70,,,P,91359473,2018-05-13 20:43:00,9667,8669.710904327994
RAO5TAG1BD,,,P,31431167,2018-09-14 13:30:00,1017,-2182.0487523584306
166FJV65R6,Firm C,,I,-57512297,2018-01-23 14:01:01,1017,-7009.653693224965
3XO893HUB7,Firm A,,I,41010629,2018-03-04 14:54:00,1017,11372.974724241709
U7BJKAE83O,,,P,69393087,2018-07-25 00:25:00,1017,11153.674838012075
3CN0CG38T5,Firm L,YES,I,34412410,2018-05-29 18:20:00,9667,8535.202658797554
MPFMN2X83W,,,P,34956470,2018-11-09 06:05:00,2837,9927.966342937129
623GI3T18A,Firm C,,I,87047903,2018-12-08 17:29:00,1017,13400.18032548248
T8NOPQSIWF,,,P,36304320,2018-03-26 03:52:00,1017,6670.243600603635
DNXZLTM3AA,,,P,73279975,2018-02-27 00:38:00,9667,12596.61536872458
6F2QRT6N0N,,,P,39489858,2018-01-04 06:57:00,1017,4391.200248719811
4L0Q61KPQL,Firm E,,I,-48223425,2018-06-18 11:51:01,1017,-416.14010592194967
DF49LAD02I,Firm L,YES,I,79998385,2018-04-08 21:45:00,2183,81803.90254941286
PO2L3AEFED,Firm H,,I,93544731,2018-12-04 23:09:00,2837,7354.0501525175705
701CU2R5WE,Firm J,,I,71380591,2018-07-06 16:19:05,1017,8089.680606216565
4L0Q61KPQL,Firm E,,I,90496286,2018-11-07 15:31:00,6099,13832.75651519791
XJZM8GRCHE,Firm L,YES,I,-27672300,2018-02-10 07:22:08,1017,-4142.211952415143
WCEPX3NJVK,,,P,73614208,2018-06-18 03:59:00,2837,4910.115636460868
4L0Q61KPQL,Firm E,,I,89935345,2018-04-14 20:42:00,2837,10664.552803219822
CAHOEUK4TH,Firm L,YES,I,-42198686,2018-01-26 14:46:01,1017,-20202.109426743616
U7BJKAE83O,,,P,44891732,2018-11-06 01:59:00,7455,10171.330054279024
D2XB6WSA2C,Firm H,,I,45853539,2018-03-02 06:17:00,6099,9076.239183847758
IPOVLD1W8W,,,P,16923825,2018-06-07 19:11:00,1017,13544.965126871168
13Y2YC97H6,Firm L,YES,I,81760195,2018-05-30 14:54:00,6099,245858.56306854825
623GI3T18A,Firm C,,I,87138656,2018-01-08 16:03:00,1017,6193.93531755441
CDGKL7HHXF,Firm J,,I,10848656,2018-01-22 23:10:00,4233,6959.882076943777
K3M3GSSAN2,Firm L,YES,I,60888206,2018-09-19 20:55:00,4330,6940.657805087887
MPFMN2X83W,,,P,63960042,2018-12-25 19:27:00,4233,11975.577232730844
K2HI7Z6A4L,,,P,78403250,2018-01-06 15:13:00,2837,11666.22743060538
F887AXNEJ8,Firm C,,I,32086386,2018-04-11 03:10:00,4252,13530.460034789961
8IFVOHRN39,Firm E,,I,11911248,2018-11-01 05:38:00,1017,3572.642345840149
QXNWJE6H5G,Firm J,,I,89288679,2018-05-07 10:51:00,2892,8094.383049161845
AHTDNYP4A3,,,P,36394390,2018-11-20 20:48:10,5280,7702.895804763466
AYGKZW5YPG,Firm C,,I,77470229,2018-01-27 05:01:00,4330,103546.24386737387
U7BJKAE83O,,,P,25342883,2018-09-01 17:09:00,2837,11809.413339219736
EQF1X3CNKZ,,,P,-11159496,2018-10-23 12:57:01,1549,-8182.294873209466
N5TBEZFG1P,Firm L,YES,I,37176508,2018-10-16 09:58:00,4330,12035.75182828694
UYPHDND4FA,Firm B,,I,10837401,2018-06-03 12:58:00,4330,20636.786864920607
8IFVOHRN39,Firm E,,I,11020249,2018-12-10 14:44:00,4330,7660.601219024138
N5TBEZFG1P,Firm L,YES,I,71668924,2018-06-03 09:38:00,1549,8598.275672994847
2A9X4KHXZI,Firm C,,I,76217097,2018-03-29 18:34:00,1017,3816.5430961362126
AYGKZW5YPG,Firm C,,I,75760198,2018-08-23 15:30:00,6168,-18339.16717765262
KUUHY8JMSM,Firm C,,I,14240097,2018-01-03 18:57:00,1017,196678.22750184246
T8NOPQSIWF,,,P,85051146,2018-09-11 18:34:00,6168,12027.867890962472
2MVH9N44OT,Firm I,,I,55542769,2018-10-03 19:14:00,2837,16896.437301698767
4KWW1KR3JY,Firm L,YES,I,-89577264,2018-05-15 22:20:01,9667,-10984.940635623016
SXS9F6CSY1,Firm L,YES,I,21969120,2018-04-07 10:11:00,1017,60307.73125166279
U7BJKAE83O,,,P,82606709,2018-08-26 09:54:05,2183,2350.447796154684
8UD4S22K70,,,P,17359418,2018-08-27 14:49:00,2837,22309.508273721698
Q16YO4JCU6,Firm K,,I,86180518,2018-11-16 07:44:00,9667,15033.963346462187
701CU2R5WE,Firm J,,I,39488131,2018-11-17 01:20:00,9667,9170.988804190063
Q16YO4JCU6,Firm K,,I,-74781844,2018-02-14 22:39:08,1549,-13923.406446901641
2A9X4KHXZI,Firm C,,I,38441201,2018-08-27 23:45:00,1017,14600.703533599673
7VBKY5B1PM,,,P,86294626,2018-03-23 10:45:00,1972,3368.915323031314
T8NOPQSIWF,,,P,97916397,2018-01-11 03:46:00,7455,15594.894823175502
Q16YO4JCU6,Firm K,,I,62571708,2018-09-12 14:29:00,6168,20008.167394044143
J7GOCJMT4X,,,P,18135320,2018-07-26 22:22:00,6168,180604.98603795425
LMPLLW4ENR,Firm K,,I,51002801,2018-01-18 03:25:00,1017,13395.03554500792
AWZPLRZ289,Firm L,YES,I,72260839,,1972,9519.953851311906
DQX3E7JVFZ,Firm K,,I,34405780,2018-10-27 03:01:00,2837,14271.415529170146
DF49LAD02I,Firm L,YES,I,10963484,2018-04-01 17:26:00,1017,58965.29101869349
166FJV65R6,Firm C,,I,59067179,2018-09-23 04:22:10,1017,20162.919802182863
6F2QRT6N0N,,,P,85584578,2018-12-31 04:31:00,6099,8077.968532981475
QXNWJE6H5G,Firm J,,I,34630530,2018-12-29 12:14:00,4330,15117.20558416515
086N3Y4VVM,Firm L,YES,I,63553245,2018-12-02 20:33:00,2837,18452.351942026777
T8NOPQSIWF,,,P,84241526,2018-05-09 17:11:00,1017,15379.646870751603
JMT28B228R,Firm A,,I,-77414199,2018-03-10 13:21:01,1017,-10688.256409829633
007AS3ESRJ,Firm J,,I,15122192,2018-10-18 04:10:00,7455,9899.789234147165
LSVU61S7XC,,,P,56550508,2018-11-11 09:05:00,2183,16396.970770458684
N3GUJVQNZ8,,,P,92852351,2018-09-23 10:28:00,1017,16512.132722040104
AYGKZW5YPG,Firm C,,I,93465304,2018-10-05 20:01:00,6168,282934.0079590857
ZK6QSE5CWV,Firm G,YES,I,97898468,2018-06-29 18:45:00,2183,223190.94685109702
U7BJKAE83O,,,P,68098546,2018-11-16 15:10:05,1017,-5809.307676834624
J7GOCJMT4X,,,P,87180055,,2439,174497.47059948655
QXNWJE6H5G,Firm J,,I,19280668,2018-11-29 08:11:00,1017,18350.874104938677
E4IAL3HYBA,Firm A,,I,-79138243,2018-05-04 08:23:01,4252,-9258.701194045192
EQF1X3CNKZ,,,P,44767033,2018-06-13 17:31:05,4330,-69.01210619581798
TN2QK2P9RS,,,P,29682304,2018-01-13 20:02:05,6168,16394.00295760567
166FJV65R6,Firm C,,I,46465216,2018-05-16 14:17:05,2892,5964.083368390578
2MVH9N44OT,Firm I,,I,24250556,2018-07-09 02:38:00,1017,10775.262367625068
ZKMO6UT86Q,Firm J,,I,12668417,2018-07-14 23:07:05,2837,10839.102874010085
LSVU61S7XC,,,P,28343624,2018-02-25 13:49:00,1017,12898.320275878401
Z3X0LBABH7,Firm K,,I,35517118,2018-07-09 00:05:00,1017,7553.325843542145
Q16YO4JCU6,Firm K,,I,77488410,2018-03-05 16:08:00,7455,10332.400080142716
DQX3E7JVFZ,Firm K,,I,22894580,2018-01-14 02:41:00,6099,3261.134219052789
623GI3T18A,Firm C,,I,-88541935,2018-08-13 16:52:01,4215,-13472.192379497645
FAMB7AU0KM,Firm K,,I,-20845982,2018-06-21 17:48:01,1549,-9712.886087329327
H9NSEIPUYE,Firm G,YES,I,43440399,2018-09-12 03:56:00,2439,3633.377436151329
RBD08MZXX1,Firm A,,I,69982018,2018-10-08 22:42:05,2439,7051.133004338345
ZW0J9NZAS3,,,P,-38292004,2018-01-05 09:37:01,1017,-14446.012286524508
007AS3ESRJ,Firm J,,I,98708144,2018-10-15 20:47:00,1017,15978.458897582483
B79TELFZL7,Firm J,,I,58641518,2018-12-01 14:18:00,2439,21656.152259238872
ZW0J9NZAS3,,,P,-51197153,2018-09-13 05:53:01,1017,-14203.707698541471
701CU2R5WE,Firm J,,I,20855190,2018-05-12 16:36:00,6099,8412.207176465643
H8G804ZI5V,Firm J,,I,-79020134,,6099,-5843.260740239482
2MVH9N44OT,Firm I,,I,98402110,2018-09-08 13:50:00,1017,5681.865905918388
3IZHN85PK8,Firm J,,I,10933284,2018-03-05 02:37:00,1549,16916.832168680066
T8NOPQSIWF,,,P,-17590442,,1549,-16563.555519657726
007AS3ESRJ,Firm J,,I,31483484,2018-10-28 23:34:00,1017,13981.152825072088
DF49LAD02I,Firm L,YES,I,75491260,2018-05-28 18:43:00,9667,56223.54957146379
R5S5MUFVWU,Firm C,,I,45034664,2018-09-03 11:13:00,1017,12577.596543695312
H8G804ZI5V,Firm J,,I,27363931,2018-02-23 09:12:00,5280,12529.009300357297
DQX3E7JVFZ,Firm K,,I,76191524,2018-05-23 12:46:00,1017,13410.410804035922
GKKCWNOKZ0,Firm G,YES,I,36642005,2018-03-11 08:23:00,1017,13988.261272241465
W1Y175DVPO,Firm B,,I,75909942,2018-03-18 08:13:00,2439,4966.354752689666
QH6U83FHKN,Firm J,,I,52092549,2018-04-03 21:33:00,1017,70527.5156062739
IH9D7QU0SW,,,P,-64329315,2018-10-20 13:53:01,2837,-10352.568845797572
08JLESLKWL,,,P,58245843,2018-06-16 02:50:00,1017,10234.050476546056
DQX3E7JVFZ,Firm K,,I,83411394,2018-06-18 17:04:00,1017,5596.987817655132
W1Y175DVPO,Firm B,,I,63736340,2018-05-22 23:29:00,4233,15510.461342036502
08JLESLKWL,,,P,70314603,2018-01-26 05:43:00,1017,6731.08428581013
