DATE,ID,EMAIL_SENT,EMAIL_OPENED,IN_PERSON_MEETING,PHONE_ATTEMPT,PHONE_SUCCESS,WEBINAR,MAIL
10/16/2018,UBRJS7UAWJ,23,20,4,0,2,41,2
08/05/2018,UBRJS7UAWJ,27,33,1,3,2,25,1
04/25/2018,UBRJS7UAWJ,30,17,0,3,0,61,2
05/10/2018,UBRJS7UAWJ,8,18,3,3,0,34,1
03/03/2018,UBRJS7UAWJ,37,1,1,3,2,65,1
01/03/2018,UBRJS7UAWJ,17,7,0,0,2,64,2
02/09/2018,UBRJS7UAWJ,7,2,3,3,1,9,2
12/03/2018,UBRJS7UAWJ,23,1,2,2,2,53,1
03/16/2018,UBRJS7UAWJ,0,33,1,0,0,53,2
05/27/2018,UBRJS7UAWJ,1,15,0,2,1,8,0
10/22/2018,UBRJS7UAWJ,7,0,2,1,2,74,0
07/04/2018,UBRJS7UAWJ,2,1,4,2,2,26,2
09/15/2018,UBRJS7UAWJ,29,13,3,3,1,61,1
09/06/2018,UBRJS7UAWJ,12,8,2,0,1,74,2
02/04/2018,UBRJS7UAWJ,0,27,2,2,2,73,1
10/30/2018,UBRJS7UAWJ,34,27,0,3,0,28,1
01/31/2018,UBRJS7UAWJ,37,24,3,0,2,28,2
03/13/2018,UBRJS7UAWJ,31,24,0,0,1,49,1
08/29/2018,UBRJS7UAWJ,8,22,1,0,1,30,2
10/06/2018,UBRJS7UAWJ,7,27,3,0,2,4,2
03/17/2018,UBRJS7UAWJ,5,6,0,2,1,74,2
01/23/2018,UBRJS7UAWJ,4,0,1,2,1,27,0
08/16/2018,UBRJS7UAWJ,21,6,2,3,0,51,1
02/04/2018,UBRJS7UAWJ,12,28,1,1,0,64,2
06/24/2018,UBRJS7UAWJ,17,21,2,0,2,9,2
04/16/2018,UBRJS7UAWJ,9,6,1,3,1,75,2
12/17/2018,W5S4X42JSQ,21,14,1,2,2,32,0
02/11/2018,W5S4X42JSQ,20,3,3,0,2,39,1
08/18/2018,W5S4X42JSQ,4,10,0,3,0,72,2
10/07/2018,W5S4X42JSQ,4,2,3,1,2,69,0
08/18/2018,W5S4X42JSQ,26,11,0,3,1,60,2
10/10/2018,W5S4X42JSQ,28,14,4,3,1,15,0
05/30/2018,W5S4X42JSQ,23,15,1,2,0,33,1
12/29/2018,W5S4X42JSQ,17,31,3,3,0,77,0
05/09/2018,W5S4X42JSQ,24,28,3,2,1,68,0
07/30/2018,W5S4X42JSQ,34,17,0,1,1,15,2
07/09/2018,W5S4X42JSQ,0,22,2,3,2,62,2
06/04/2018,W5S4X42JSQ,16,20,2,0,2,18,2
08/16/2018,W5S4X42JSQ,23,24,4,3,1,33,0
03/31/2018,W5S4X42JSQ,33,6,4,0,2,3,0
09/10/2018,W5S4X42JSQ,0,16,0,3,1,53,2
06/07/2018,W5S4X42JSQ,17,19,2,2,2,77,0
09/14/2018,W5S4X42JSQ,32,33,4,3,1,77,1
10/21/2018,W5S4X42JSQ,7,6,2,1,0,72,1
06/09/2018,W5S4X42JSQ,17,13,3,3,0,56,2
10/08/2018,W5S4X42JSQ,3,28,2,3,1,74,0
06/15/2018,W5S4X42JSQ,1,18,2,2,0,19,2
06/11/2018,W5S4X42JSQ,37,10,1,3,1,57,1
01/16/2018,W5S4X42JSQ,29,14,2,1,2,55,1
05/03/2018,W5S4X42JSQ,11,30,3,3,1,13,2
08/13/2018,W5S4X42JSQ,31,15,0,1,2,45,1
04/25/2018,W5S4X42JSQ,17,21,0,0,2,11,2
10/19/2018,W5S4X42JSQ,17,26,3,0,1,77,2
02/26/2018,W5S4X42JSQ,37,32,3,1,0,48,1
09/22/2018,W5S4X42JSQ,11,16,4,2,0,1,2
02/05/2018,W5S4X42JSQ,36,21,4,0,2,60,1
07/22/2018,W5S4X42JSQ,5,12,4,2,2,76,0
04/28/2018,W5S4X42JSQ,3,22,2,3,1,21,2
10/23/2018,W5S4X42JSQ,28,32,3,2,2,14,0
06/18/2018,W5S4X42JSQ,14,22,4,0,1,34,2
08/09/2018,W5S4X42JSQ,29,17,1,0,1,62,2
08/07/2018,W5S4X42JSQ,38,16,1,0,2,58,0
02/10/2018,W5S4X42JSQ,5,6,3,0,0,45,0
08/19/2018,W5S4X42JSQ,17,21,1,2,0,0,2
10/10/2018,W5S4X42JSQ,36,8,3,0,0,39,2
06/02/2018,W5S4X42JSQ,13,18,2,3,0,76,0
03/03/2018,W5S4X42JSQ,21,2,2,2,0,53,0
06/01/2018,W5S4X42JSQ,37,29,1,2,0,57,1
07/24/2018,W5S4X42JSQ,34,24,0,3,0,19,1
01/18/2018,W5S4X42JSQ,3,27,3,0,2,46,0
01/21/2018,W5S4X42JSQ,3,31,3,2,1,60,1
11/06/2018,W5S4X42JSQ,37,16,2,2,2,19,1
08/13/2018,W5S4X42JSQ,13,29,4,1,1,49,0
04/06/2018,W5S4X42JSQ,36,25,2,1,1,60,1
07/11/2018,W5S4X42JSQ,1,22,2,3,1,33,2
11/16/2018,W5S4X42JSQ,0,17,0,0,2,8,1
12/28/2018,TXW929QG7V,35,20,2,2,0,59,2
12/13/2018,TXW929QG7V,4,24,2,1,0,61,1
08/29/2018,TXW929QG7V,37,9,0,0,1,69,1
09/29/2018,TXW929QG7V,2,28,0,2,0,77,2
05/03/2018,TXW929QG7V,9,19,2,0,1,64,2
07/20/2018,TXW929QG7V,31,23,4,3,2,16,1
03/22/2018,TXW929QG7V,33,28,1,2,0,52,0
09/02/2018,TXW929QG7V,5,14,1,2,0,63,1
04/19/2018,TXW929QG7V,16,17,0,3,2,11,1
05/11/2018,TXW929QG7V,9,12,0,1,1,16,1
03/11/2018,TXW929QG7V,39,4,1,1,2,28,1
02/26/2018,TXW929QG7V,35,6,3,1,2,0,0
07/04/2018,TXW929QG7V,28,13,4,2,1,36,0
04/19/2018,TXW929QG7V,2,25,0,0,0,40,1
09/02/2018,TXW929QG7V,32,20,1,0,0,0,1
04/07/2018,TXW929QG7V,3,10,3,2,1,10,2
07/04/2018,TXW929QG7V,4,11,0,2,2,60,1
01/08/2018,TXW929QG7V,38,10,4,2,1,57,2
07/01/2018,TXW929QG7V,11,23,1,1,2,46,2
01/24/2018,TXW929QG7V,12,3,4,1,1,59,1
08/02/2018,N5XWRI212R,33,25,2,1,2,48,2
07/08/2018,N5XWRI212R,35,1,2,2,2,19,1
04/24/2018,N5XWRI212R,5,25,4,2,1,55,2
12/15/2018,N5XWRI212R,4,17,2,3,1,67,1
04/02/2018,N5XWRI212R,10,10,1,1,1,32,1
06/17/2018,N5XWRI212R,34,32,4,3,1,45,0
06/11/2018,N5XWRI212R,30,17,4,1,1,52,1
10/09/2018,N5XWRI212R,5,7,1,3,2,69,2
10/22/2018,N5XWRI212R,29,8,4,0,1,0,0
12/10/2018,N5XWRI212R,39,27,1,1,0,1,2
03/08/2018,N5XWRI212R,37,25,4,3,1,14,0
05/26/2018,N5XWRI212R,35,0,2,0,2,69,2
01/13/2018,N5XWRI212R,6,16,1,1,1,44,1
11/28/2018,N5XWRI212R,37,31,1,3,0,9,0
08/20/2018,N5XWRI212R,38,29,0,3,0,39,2
03/05/2018,N5XWRI212R,1,17,0,3,0,49,0
01/06/2018,N5XWRI212R,8,13,0,3,1,8,1
09/09/2018,N5XWRI212R,36,3,3,1,0,56,2
04/16/2018,N5XWRI212R,8,4,1,0,1,20,1
06/23/2018,N5XWRI212R,16,13,3,2,0,68,0
09/04/2018,N5XWRI212R,20,26,0,1,2,3,2
07/25/2018,N5XWRI212R,0,21,2,3,1,69,1
06/20/2018,N5XWRI212R,30,25,1,1,1,31,1
10/03/2018,N5XWRI212R,7,26,1,0,0,11,1
10/11/2018,N5XWRI212R,37,14,4,1,1,42,1
06/30/2018,0FIT0NJYNV,17,29,1,1,0,18,1
11/07/2018,0FIT0NJYNV,9,1,0,0,2,37,2
05/26/2018,0FIT0NJYNV,22,23,2,0,0,50,0
08/16/2018,0FIT0NJYNV,9,16,0,3,1,49,1
07/21/2018,0FIT0NJYNV,27,11,0,1,2,21,1
06/26/2018,0FIT0NJYNV,18,26,2,1,0,7,2
10/14/2018,0FIT0NJYNV,35,5,0,2,0,9,1
03/13/2018,0FIT0NJYNV,11,31,4,3,0,72,0
05/22/2018,0FIT0NJYNV,38,28,0,2,2,55,2
08/26/2018,0FIT0NJYNV,39,26,4,1,2,63,1
03/20/2018,0FIT0NJYNV,7,8,1,0,1,5,1
10/14/2018,0FIT0NJYNV,8,2,1,1,1,29,2
10/09/2018,0FIT0NJYNV,16,5,3,0,0,78,0
04/08/2018,0FIT0NJYNV,39,1,1,1,2,65,2
01/04/2018,0FIT0NJYNV,16,33,2,3,2,24,0
10/28/2018,0FIT0NJYNV,23,2,4,2,0,13,1
05/02/2018,0FIT0NJYNV,16,16,1,2,1,5,1
09/10/2018,0FIT0NJYNV,14,11,4,1,2,60,1
03/03/2018,0FIT0NJYNV,30,2,3,1,1,17,2
02/13/2018,0FIT0NJYNV,36,20,2,2,1,24,2
02/04/2018,0FIT0NJYNV,5,21,3,1,2,48,2
02/04/2018,0FIT0NJYNV,12,29,2,1,1,54,2
05/18/2018,0FIT0NJYNV,28,10,2,2,2,41,0
09/09/2018,0FIT0NJYNV,29,29,3,1,2,30,2
01/05/2018,0FIT0NJYNV,25,4,2,1,0,11,0
07/24/2018,0FIT0NJYNV,26,33,0,1,1,0,1
09/24/2018,0FIT0NJYNV,3,8,1,2,2,16,0
08/29/2018,0FIT0NJYNV,17,17,3,0,1,34,2
10/30/2018,0FIT0NJYNV,18,1,3,0,1,76,0
06/02/2018,0FIT0NJYNV,6,3,0,3,1,15,0
07/28/2018,0FIT0NJYNV,27,27,2,3,2,1,0
03/26/2018,0FIT0NJYNV,34,29,0,3,1,49,1
11/07/2018,0FIT0NJYNV,23,23,3,2,0,37,2
03/12/2018,0FIT0NJYNV,36,8,3,0,1,46,2
04/02/2018,0FIT0NJYNV,30,3,3,3,1,29,1
05/14/2018,0FIT0NJYNV,29,25,3,3,1,32,0
03/12/2018,0FIT0NJYNV,16,20,3,2,0,76,1
02/13/2018,0FIT0NJYNV,30,16,3,2,0,55,0
03/15/2018,0FIT0NJYNV,23,3,2,0,2,73,2
04/09/2018,0FIT0NJYNV,30,33,4,0,0,0,0
02/15/2018,0FIT0NJYNV,25,14,1,2,0,70,2
02/27/2018,0FIT0NJYNV,2,17,1,2,2,28,1
05/11/2018,0FIT0NJYNV,17,24,0,1,1,20,1
04/11/2018,0FIT0NJYNV,26,33,3,1,2,63,2
06/09/2018,0FIT0NJYNV,26,13,3,2,1,62,0
05/21/2018,0FIT0NJYNV,33,21,4,2,0,62,1
06/09/2018,0FIT0NJYNV,38,0,2,1,2,13,1
03/23/2018,0FIT0NJYNV,8,31,0,2,1,70,0
02/10/2018,0FIT0NJYNV,5,9,3,1,1,70,0
12/03/2018,0FIT0NJYNV,6,9,1,2,1,59,1
03/19/2018,0FIT0NJYNV,21,13,3,0,0,58,0
03/04/2018,0FIT0NJYNV,28,4,2,2,2,38,2
02/27/2018,0FIT0NJYNV,8,13,2,3,2,14,1
09/22/2018,0FIT0NJYNV,10,29,0,0,1,53,0
05/24/2018,0FIT0NJYNV,35,12,0,0,1,8,2
12/10/2018,0FIT0NJYNV,17,29,1,1,0,41,1
03/15/2018,0FIT0NJYNV,5,0,3,2,0,49,1
09/10/2018,0FIT0NJYNV,7,26,2,2,2,36,2
10/26/2018,0FIT0NJYNV,20,15,0,2,2,60,0
10/30/2018,0FIT0NJYNV,33,9,3,2,0,40,2
07/20/2018,0FIT0NJYNV,29,17,0,1,1,49,0
10/02/2018,0FIT0NJYNV,19,32,0,3,1,22,2
03/12/2018,0FIT0NJYNV,18,17,1,1,1,62,0
11/04/2018,0FIT0NJYNV,18,10,0,2,1,40,0
08/22/2018,0FIT0NJYNV,6,6,3,3,2,44,1
03/11/2018,0FIT0NJYNV,39,30,0,3,1,46,2
07/08/2018,0FIT0NJYNV,21,11,0,0,2,45,1
12/15/2018,0FIT0NJYNV,13,26,0,3,0,64,0
04/13/2018,0FIT0NJYNV,36,2,1,0,2,40,2
04/09/2018,0FIT0NJYNV,22,17,2,0,2,19,2
12/27/2018,W1Y175DVPO,19,18,4,1,2,6,0
12/30/2018,W1Y175DVPO,28,30,1,2,0,58,1
06/19/2018,W1Y175DVPO,16,17,4,0,1,17,2
12/09/2018,W1Y175DVPO,29,7,2,0,2,6,2
10/22/2018,W1Y175DVPO,3,0,0,3,1,37,1
07/08/2018,W1Y175DVPO,25,31,0,2,0,38,2
01/30/2018,W1Y175DVPO,19,4,4,3,1,33,1
06/17/2018,W1Y175DVPO,2,13,3,3,0,13,1
07/25/2018,W1Y175DVPO,15,24,1,2,1,44,1
06/18/2018,W1Y175DVPO,30,19,3,3,1,12,1
12/16/2018,W1Y175DVPO,39,22,4,2,2,39,0
06/13/2018,W1Y175DVPO,1,9,1,1,2,0,2
03/24/2018,W1Y175DVPO,27,11,4,2,2,67,1
04/27/2018,W1Y175DVPO,14,13,0,2,0,44,0
10/08/2018,W1Y175DVPO,29,13,1,1,2,43,2
11/18/2018,W1Y175DVPO,5,32,4,2,1,49,2
09/20/2018,W1Y175DVPO,7,32,3,2,0,47,2
07/16/2018,W1Y175DVPO,15,12,2,2,0,43,0
06/12/2018,W1Y175DVPO,22,11,4,1,1,15,2
02/27/2018,W1Y175DVPO,36,15,3,2,2,5,0
02/19/2018,W1Y175DVPO,9,0,4,3,1,73,1
08/01/2018,W1Y175DVPO,27,31,3,0,0,67,1
07/17/2018,W1Y175DVPO,5,18,1,3,1,40,2
04/29/2018,W1Y175DVPO,8,28,0,2,1,57,1
05/10/2018,W1Y175DVPO,19,17,0,0,0,22,0
02/06/2018,W1Y175DVPO,30,10,1,1,2,2,0
10/02/2018,W1Y175DVPO,4,5,4,3,0,2,1
08/04/2018,W1Y175DVPO,39,4,1,1,2,51,0
10/12/2018,W1Y175DVPO,14,30,2,2,0,68,1
01/15/2018,W1Y175DVPO,17,26,0,1,2,33,0
10/19/2018,W1Y175DVPO,18,4,4,0,2,49,1
08/11/2018,W1Y175DVPO,37,6,3,3,1,17,1
10/20/2018,W1Y175DVPO,19,12,4,3,2,46,2
12/19/2018,W1Y175DVPO,8,30,2,0,2,58,1
11/29/2018,W1Y175DVPO,33,4,2,1,0,28,1
09/28/2018,W1Y175DVPO,7,10,2,3,2,5,2
01/27/2018,W1Y175DVPO,13,14,1,1,0,3,2
11/16/2018,W1Y175DVPO,7,24,3,3,0,30,1
08/22/2018,W1Y175DVPO,16,10,0,0,0,46,1
10/03/2018,W1Y175DVPO,30,9,1,0,1,46,2
10/14/2018,W1Y175DVPO,8,14,0,1,0,0,0
05/15/2018,W1Y175DVPO,24,1,0,2,0,18,1
10/29/2018,W1Y175DVPO,29,4,1,1,2,3,2
07/08/2018,W1Y175DVPO,24,18,4,2,2,56,0
02/02/2018,W1Y175DVPO,10,27,3,3,1,71,1
12/23/2018,W1Y175DVPO,34,25,4,1,0,45,1
02/26/2018,W1Y175DVPO,20,32,1,1,2,75,2
03/13/2018,W1Y175DVPO,24,10,0,2,1,38,0
12/26/2018,W1Y175DVPO,24,26,2,3,1,20,0
10/13/2018,W1Y175DVPO,28,21,4,1,1,47,2
02/07/2018,W1Y175DVPO,10,32,2,2,2,54,2
07/03/2018,W1Y175DVPO,13,21,1,0,0,5,0
06/20/2018,W1Y175DVPO,25,7,2,3,1,40,0
09/06/2018,W1Y175DVPO,35,30,1,3,1,47,2
05/20/2018,W1Y175DVPO,24,13,0,0,0,60,0
01/15/2018,W1Y175DVPO,27,12,2,0,1,78,0
12/01/2018,W1Y175DVPO,30,25,0,2,0,28,0
07/07/2018,W1Y175DVPO,16,12,0,2,0,14,2
02/21/2018,W1Y175DVPO,34,28,3,0,1,78,2
12/07/2018,W1Y175DVPO,15,17,3,2,2,24,2
09/18/2018,W1Y175DVPO,3,18,4,2,0,46,1
12/25/2018,W1Y175DVPO,23,27,1,3,1,3,2
01/15/2018,W1Y175DVPO,10,28,3,2,1,62,2
05/16/2018,W1Y175DVPO,18,0,2,2,2,57,1
12/09/2018,W1Y175DVPO,19,4,4,1,0,34,0
01/03/2018,R89BBWNCD8,38,14,1,2,1,78,1
06/07/2018,R89BBWNCD8,21,2,2,3,1,30,2
07/22/2018,R89BBWNCD8,17,30,3,1,1,62,2
08/16/2018,R89BBWNCD8,31,16,4,2,0,27,2
12/02/2018,R89BBWNCD8,23,14,1,0,0,61,2
03/29/2018,R89BBWNCD8,24,13,2,2,1,8,0
02/02/2018,R89BBWNCD8,0,25,4,0,0,8,1
02/25/2018,R89BBWNCD8,21,10,3,3,2,64,0
05/08/2018,R89BBWNCD8,24,11,1,2,2,30,2
10/10/2018,R89BBWNCD8,5,17,2,0,2,2,2
03/30/2018,R89BBWNCD8,11,18,3,1,0,30,2
01/15/2018,R89BBWNCD8,26,23,4,0,2,35,1
09/14/2018,R89BBWNCD8,13,5,2,3,1,19,0
09/23/2018,R89BBWNCD8,32,30,4,1,1,70,2
10/28/2018,R89BBWNCD8,6,24,4,0,1,9,0
06/20/2018,R89BBWNCD8,29,0,1,0,0,27,2
09/07/2018,R89BBWNCD8,7,23,1,2,0,5,2
02/27/2018,R89BBWNCD8,39,7,0,2,1,69,2
08/03/2018,R89BBWNCD8,7,11,1,1,0,75,1
12/28/2018,R89BBWNCD8,8,4,2,0,2,49,2
10/20/2018,R89BBWNCD8,14,12,4,3,2,15,1
03/28/2018,R89BBWNCD8,25,12,4,2,2,14,0
01/28/2018,R89BBWNCD8,30,27,2,1,1,33,2
09/11/2018,R89BBWNCD8,35,6,4,3,1,72,1
07/09/2018,R89BBWNCD8,37,25,1,1,0,30,0
08/11/2018,R89BBWNCD8,35,15,4,0,2,61,1
08/24/2018,R89BBWNCD8,2,8,3,1,2,75,2
04/14/2018,R89BBWNCD8,16,33,2,0,2,33,2
05/26/2018,R89BBWNCD8,38,29,2,1,1,65,1
06/21/2018,R89BBWNCD8,39,26,0,2,0,64,2
02/16/2018,R89BBWNCD8,26,2,3,0,0,3,0
01/12/2018,R89BBWNCD8,23,22,0,2,2,35,1
03/03/2018,R89BBWNCD8,12,9,2,1,2,37,2
12/27/2018,R89BBWNCD8,31,5,2,0,1,76,0
07/31/2018,R89BBWNCD8,5,16,2,2,0,21,0
06/12/2018,R89BBWNCD8,23,16,2,0,0,5,2
07/04/2018,R89BBWNCD8,0,15,3,0,2,37,1
01/04/2018,R89BBWNCD8,21,23,1,2,1,18,1
07/19/2018,R89BBWNCD8,19,22,0,3,2,8,0
08/09/2018,R89BBWNCD8,26,8,2,2,0,38,0
01/16/2018,R89BBWNCD8,22,4,3,2,0,58,2
04/22/2018,R89BBWNCD8,31,15,1,2,2,29,0
08/23/2018,R89BBWNCD8,9,1,0,2,1,38,0
12/22/2018,R89BBWNCD8,24,31,4,0,2,34,1
12/26/2018,R89BBWNCD8,5,13,3,2,1,13,0
02/12/2018,R89BBWNCD8,13,28,0,1,1,34,1
06/25/2018,R89BBWNCD8,6,4,3,0,0,38,1
11/05/2018,R89BBWNCD8,5,22,0,1,0,25,0
04/09/2018,R89BBWNCD8,37,4,0,0,1,73,2
08/16/2018,R89BBWNCD8,10,9,1,0,0,25,1
08/03/2018,R89BBWNCD8,3,2,3,3,2,39,2
08/14/2018,R89BBWNCD8,33,15,3,1,0,41,1
08/20/2018,R89BBWNCD8,17,22,0,3,2,52,1
01/13/2018,R89BBWNCD8,18,15,0,3,0,5,1
07/17/2018,UYPHDND4FA,21,30,1,0,2,41,1
03/16/2018,UYPHDND4FA,32,29,1,1,2,63,2
10/17/2018,UYPHDND4FA,9,2,1,3,2,19,2
04/14/2018,UYPHDND4FA,25,19,2,1,0,48,1
01/16/2018,UYPHDND4FA,21,22,3,3,0,14,1
03/11/2018,UYPHDND4FA,31,0,0,1,1,21,2
11/23/2018,UYPHDND4FA,16,21,3,3,2,78,0
10/29/2018,UYPHDND4FA,12,29,4,3,1,18,2
08/09/2018,UYPHDND4FA,27,1,1,2,2,20,1
06/18/2018,UYPHDND4FA,11,14,3,1,2,46,1
05/03/2018,UYPHDND4FA,7,23,3,2,1,8,1
03/15/2018,UYPHDND4FA,17,18,0,2,1,9,0
02/28/2018,UYPHDND4FA,7,12,0,1,1,26,2
02/05/2018,UYPHDND4FA,26,29,0,3,0,51,1
11/20/2018,UYPHDND4FA,14,2,2,3,2,48,0
09/25/2018,UYPHDND4FA,18,19,3,3,1,3,0
06/04/2018,UYPHDND4FA,26,2,0,1,2,23,0
07/24/2018,UYPHDND4FA,19,7,0,1,2,1,0
12/12/2018,UYPHDND4FA,24,6,0,0,0,60,1
12/21/2018,UYPHDND4FA,20,29,2,0,2,48,1
