PARTNERSHIP_ID,INDIVIDUAL_IDS
8LAW7XYD14,"['YH7NSGYL1V', 'TXW929QG7V', 'HBRJJ06A8Z', 'Z3X0LBABH7', 'AYGKZW5YPG', 'ARN5GMCI89', 'W1Y175DVPO', '3CN0CG38T5', '0FIT0NJYNV', 'GKKCWNOKZ0', 'QXNWJE6H5G', 'CDGKL7HHXF', 'R5S5MUFVWU', 'QH6U83FHKN', 'C9NRGXF7IO', 'OMJMSPEXOA']"
K2HI7Z6A4L,"['2MVH9N44OT', 'NTEGEVCM9X', 'AYGKZW5YPG', 'ISU2JLRQVJ', '827HZMYB0T', 'N0UGYR5O8A', 'JMT28B228R', 'ZKMO6UT86Q', 'R5S5MUFVWU', '3XO893HUB7', 'AM03D1XUAP', '4R2CINXSWI', 'NOFRPS4Q9T', 'SCQ0XCQ7O1', 'ZEKBKU4CMP', '3B7BHD6UEU']"
U3TBS57JJ5,"['3IZHN85PK8', 'IWISQFDXK9', 'OMJMSPEXOA', 'WL69WBRD1G', 'C3FC972N4Q', '4R2CINXSWI', 'FO8YWV23ZK', '166FJV65R6', 'ARN5GMCI89', '3CN0CG38T5', '0FIT0NJYNV', 'C9NRGXF7IO', 'Z3X0LBABH7', '8IFVOHRN39', 'N0UGYR5O8A', '4ODNGNJKKP']"
GPYUNGXBP7,"['H8G804ZI5V', 'W5S4X42JSQ', '3CN0CG38T5', 'BMSLHUUBMM', 'KUUHY8JMSM', 'UBRJS7UAWJ', '4CQTUTNULG', '4L0Q61KPQL', 'SCQ0XCQ7O1', 'R89BBWNCD8', 'Z3X0LBABH7', 'ZKMO6UT86Q', 'J7BTWJ81S5', 'TPJKXTM0CB', 'SKBPNEDBQS', 'ZEKBKU4CMP']"
MMF0ILGGR0,"['2A9X4KHXZI', 'BMSLHUUBMM', 'GKKCWNOKZ0', '63WPDBSF0P', 'U9EL7D4ERT', 'H8G804ZI5V', 'SXS9F6CSY1', 'W5S4X42JSQ', '4L0Q61KPQL', 'QXNWJE6H5G', 'UYPHDND4FA', 'A06WP1H62W', 'X7SUJHX95Z', 'TXW929QG7V', 'SKBPNEDBQS', 'CG6E63JPB7']"
FECOMP3J0U,"['4R2CINXSWI', '0FIT0NJYNV', 'FO8YWV23ZK', 'OMJMSPEXOA', '9QWF3LA00H', 'F887AXNEJ8', 'N5TBEZFG1P', '3XO893HUB7', 'N0UGYR5O8A', '2F99RMVRIZ', 'QXNWJE6H5G', 'RG0G1D96G3', 'E4IAL3HYBA', 'TPJKXTM0CB', 'Q16YO4JCU6', 'U9EL7D4ERT']"
WCEPX3NJVK,"['F887AXNEJ8', 'OMJMSPEXOA', '0FIT0NJYNV', 'H9NSEIPUYE', '3IZHN85PK8', 'B79TELFZL7', 'IWISQFDXK9', 'D2XB6WSA2C', '2A9X4KHXZI', '63WPDBSF0P', 'UYPHDND4FA', 'YH7NSGYL1V', 'TPJKXTM0CB', 'ZDOIN2X3US', 'TMD4NCAUKL', 'SKBPNEDBQS']"
IPOVLD1W8W,"['ZKMO6UT86Q', 'BMSLHUUBMM', 'A06WP1H62W', 'PO2L3AEFED', '3IZHN85PK8', 'C9NRGXF7IO', 'LMPLLW4ENR', 'OMJMSPEXOA', 'GKKCWNOKZ0', '0ESA3CXA5N', 'WL69WBRD1G', '63WPDBSF0P', '4R2CINXSWI', 'X7SUJHX95Z', 'C3FC972N4Q', '2MVH9N44OT']"
R8P9WHSOGD,"['ISU2JLRQVJ', 'TXW929QG7V', 'QZ8A8293I9', 'FO8YWV23ZK', 'U9EL7D4ERT', '007AS3ESRJ', 'E4IAL3HYBA', 'UYPHDND4FA', '623GI3T18A', 'N5XWRI212R', '0ESA3CXA5N', 'SCQ0XCQ7O1', 'RBD08MZXX1', 'ZK6QSE5CWV', 'W5S4X42JSQ', 'CG6E63JPB7']"
1U7UBFTOIE,"['XJZM8GRCHE', '4CQTUTNULG', 'UDSS4B9P65', '77WCO3DEI2', 'IWISQFDXK9', 'TMD4NCAUKL', 'JMT28B228R', '3IZHN85PK8', '4KWW1KR3JY', 'FAMB7AU0KM', '3CN0CG38T5', '827HZMYB0T', 'AM03D1XUAP', 'F887AXNEJ8', 'CG6E63JPB7', '13Y2YC97H6', 'UI7EJIY2KI', '2MVH9N44OT', 'ZK6QSE5CWV', 'BMSLHUUBMM']"
LSVU61S7XC,"['ZDOIN2X3US', 'AM03D1XUAP', 'C9NRGXF7IO', 'ARN5GMCI89', 'DF49LAD02I', 'FAMB7AU0KM', '4KWW1KR3JY', 'Z3X0LBABH7', '0ESA3CXA5N', 'ADFYY3NPQS', '827HZMYB0T', 'A06WP1H62W', 'RBD08MZXX1', '17PCTFAZUP', 'UDSS4B9P65', 'GKKCWNOKZ0', 'H8G804ZI5V', 'TXW929QG7V', 'OMJMSPEXOA', 'SKBPNEDBQS']"
R94K3D6CWX,"['63WPDBSF0P', 'UDSS4B9P65', 'NTEGEVCM9X', 'J7BTWJ81S5', '3CN0CG38T5', 'OMJMSPEXOA', 'TPJKXTM0CB', 'W5S4X42JSQ', 'JMT28B228R', '827HZMYB0T', 'RBD08MZXX1', 'H9NSEIPUYE', '701CU2R5WE', '77WCO3DEI2', 'SKBPNEDBQS', 'E4IAL3HYBA', 'ZDOIN2X3US', '2A9X4KHXZI', '2F99RMVRIZ', 'IWISQFDXK9']"
T8NOPQSIWF,"['77WCO3DEI2', '8IFVOHRN39', 'TMD4NCAUKL', 'H9NSEIPUYE', 'CDGKL7HHXF', 'AYGKZW5YPG', 'DBYS4P30SU', 'SXS9F6CSY1', '63WPDBSF0P', 'ISU2JLRQVJ', 'B79TELFZL7', 'N0UGYR5O8A', 'K3M3GSSAN2', 'NOFRPS4Q9T', 'SKBPNEDBQS', '827HZMYB0T', '086N3Y4VVM', '3XO893HUB7', 'A4J0YU0L11', 'YH7NSGYL1V']"
U7BJKAE83O,"['13Y2YC97H6', 'ZK6QSE5CWV', 'TXW929QG7V', 'IWISQFDXK9', '2A9X4KHXZI', 'SCQ0XCQ7O1', 'A4J0YU0L11', 'U9EL7D4ERT', 'B79TELFZL7', 'ARN5GMCI89', 'XJZM8GRCHE', 'AM03D1XUAP', 'A06WP1H62W', 'JMT28B228R', '77WCO3DEI2', 'D2XB6WSA2C', 'YH7NSGYL1V', 'TMD4NCAUKL', 'ADFYY3NPQS', 'FAMB7AU0KM']"
GSITSYMDWU,"['0ESA3CXA5N', 'C9NRGXF7IO', 'H8G804ZI5V', 'TMD4NCAUKL', 'Z3X0LBABH7', 'FO8YWV23ZK', 'RBD08MZXX1', 'N0UGYR5O8A', '4R2CINXSWI', '4NI2BAS5NY', 'D2XB6WSA2C', 'ISU2JLRQVJ', 'J7BTWJ81S5', 'PO2L3AEFED', 'FAMB7AU0KM', '623GI3T18A', 'TPJKXTM0CB', 'ZK6QSE5CWV', 'U9EL7D4ERT', 'RG0G1D96G3']"
0WVM3IMR53,"['1ZEAIO3U5N', 'OMJMSPEXOA', '2MVH9N44OT', 'QH6U83FHKN', 'NOFRPS4Q9T', '166FJV65R6', '9QWF3LA00H', 'E4IAL3HYBA', 'K3M3GSSAN2', '0FIT0NJYNV', 'SCQ0XCQ7O1', 'ZEKBKU4CMP', 'TXW929QG7V', 'FAMB7AU0KM', '827HZMYB0T', '63WPDBSF0P', 'U9EL7D4ERT', 'JMT28B228R', 'FO8YWV23ZK', '623GI3T18A']"
2J1CGBDXSV,"['3XO893HUB7', '2MVH9N44OT', 'RG0G1D96G3', 'C9NRGXF7IO', 'DF49LAD02I', 'Z3X0LBABH7', 'KUUHY8JMSM', 'UBRJS7UAWJ', 'WL69WBRD1G', '4KWW1KR3JY', 'QXNWJE6H5G', '086N3Y4VVM', '3IZHN85PK8', 'K3M3GSSAN2', 'NTEGEVCM9X', '4NI2BAS5NY', 'YH7NSGYL1V', 'H9NSEIPUYE', 'SKBPNEDBQS', '8IFVOHRN39']"
08JLESLKWL,"['SKBPNEDBQS', 'DQX3E7JVFZ', 'ADFYY3NPQS', 'NTEGEVCM9X', 'K3M3GSSAN2', '623GI3T18A', '086N3Y4VVM', '4NI2BAS5NY', 'N5XWRI212R', 'N5TBEZFG1P', 'RG0G1D96G3', 'AWZPLRZ289', 'XJZM8GRCHE', 'RA6JIGZVI2', 'UDSS4B9P65', '166FJV65R6', 'DBYS4P30SU', '827HZMYB0T', 'J7BTWJ81S5', 'SXS9F6CSY1']"
V9N3ZKPZHH,"['DF49LAD02I', '827HZMYB0T', 'D2XB6WSA2C', 'JMT28B228R', 'CG6E63JPB7', '4CQTUTNULG', 'ZKMO6UT86Q', '0FIT0NJYNV', 'H9NSEIPUYE', 'TPJKXTM0CB', 'FAMB7AU0KM', 'R5S5MUFVWU', 'BMSLHUUBMM', 'B79TELFZL7', 'DBYS4P30SU', 'W5S4X42JSQ', 'UBRJS7UAWJ', 'AWZPLRZ289', 'X7SUJHX95Z', 'N0UGYR5O8A']"
